en	fr	es
PHP classes and MySQL structure generator	Générateur de classes PHP et de structure MySQL	Generador de clases PHP y MySQL estructura
Build the MySQL structure and the PHP code of your UML classes in a few clicks!	Générez la structure MySQL et le code PHP de vos classes UML en quelques clics !	Construir la estructura de MySQL y el código PHP de tus clases UML de en unos pocos clics!	
Feedback on WebProjectHelper	Impressions sur WebProjetHelper	Comentarios sobre WebProjectHelper
Feedback me	Vos impressions	Sus impresiones
Portfolio
Get the (.*?)'s id	Récupérer le/les id(s) du/de la $1	Recuperar el/la id de $1
Array	Tableau	Tabla
Define	Définir	Definir
Generate	Générer	Generar
Result	Résultat	Resultado
Puts elements definitions here \.\.\.	Placez les définitions ici ...	Ponga aquí las definiciones ...
Product zip file for MySQL scripts	Produire un fichier zip pour les scripts MySQL	Producir un archivo zip para scripts de MySQL
Product zip file for PHP classes	Produire un fichier zip pour les classes PHP	Producir un archivo zip para las clases de PHP
Already (.*?) generations !	Déjà $1 générations	Ya $1 generación
Syntaxe	Syntaxe	Sintaxis
Objects and their elements	Les objets et leurs éléments	Los objetos y sus componentes
A simple object	Un simple objet	Un objeto simple
Examples	Exemples	Ejemplos
Type can be	Le type peut être	El tipo puede ser
Multiplicities	Les multiplicités	Multiplicidades
Several	Plusieurs	Varios
One or zero	Un ou zéro	Uno o cero
Multiplicity can be apply with scalars too	Les multiplicités peuvent aussi s'appliquer aux scalaires	Las multiplicidades puede aplicarse también a escalar
Inheritance	Héritage	Legado
List of elements	Liste d'éléments	Lista de elementos
Example	Exemple	Ejemplo
Definitions	Définitions	Definiciones
Using the generated code	Utilisation du code généré	Usando el código generado
Tool developed by	Outil développé par	Aplicación desarrollada por
Car	Voiture	Vehículo
MySQL script	Script MySQL	MySQL script
PHP class	Classe PHP	Clase PHP
MySQL scripts	Scripts MySQL	MySQL scripts
PHP classes	Classes PHP	Clases PHP
The object (.*?) inherites the object (.*?) already in family, this may be problematic \.\.\.	L'objet $1 hérite de l'objet $2 qui est déjà dans la famille, ceci peut être problématique ...	El objeto $1 hereda del objeto $2, ya esta en la familia, esto puede ser problemático ...
The object (.*?) owns a member of its family (.*?) without association	L'objet $1 possède un membre de sa famille $2 sans association	Objeto $1 tiene un miembro de la familia $2, sin asociación
The object (.*?) owns itself without association	L'objet $1 se possède lui-même sans association	El objeto $1 en sí mismo no tiene ninguna asociación
